iter	Passed	Remaining
0	3	3988
1	7	3940
2	11	3810
3	16	4204
4	21	4356
5	26	4394
6	30	4330
7	33	4167
8	36	4022
9	39	3902
10	42	3849
11	45	3770
12	48	3705
13	51	3657
14	55	3629
15	59	3663
16	64	3745
17	70	3849
18	77	4020
19	82	4061
20	86	4039
21	93	4155
22	96	4105
23	99	4056
24	104	4067
25	108	4075
26	116	4189
27	121	4222
28	125	4188
29	129	4195
30	138	4324
31	142	4321
32	150	4397
33	153	4365
34	156	4315
35	162	4354
36	169	4409
37	175	4453
38	180	4443
39	206	4965
40	210	4932
41	214	4895
42	219	4891
43	254	5528
44	258	5480
45	261	5430
46	280	5696
47	287	5693
48	290	5633
49	294	5591
50	299	5580
51	304	5542
52	307	5499
53	313	5488
54	317	5458
55	321	5414
56	324	5370
57	329	5349
58	332	5310
59	336	5270
60	346	5329
61	352	5331
62	367	5458
63	370	5415
64	374	5388
65	378	5357
66	382	5331
67	387	5312
68	421	5692
69	425	5659
70	432	5662
71	439	5662
72	444	5646
73	448	5616
74	453	5587
75	457	5564
76	467	5599
77	470	5563
78	475	5543
79	480	5526
80	483	5490
81	489	5477
82	491	5430
83	495	5407
84	500	5388
85	504	5366
86	508	5334
87	511	5303
88	518	5310
89	522	5281
90	525	5247
91	528	5219
92	533	5204
93	537	5179
94	541	5153
95	545	5136
96	549	5116
97	553	5096
98	557	5072
99	560	5045
100	564	5020
101	567	4997
102	572	4987
103	577	4971
104	580	4951
105	584	4932
106	589	4916
107	592	4895
108	598	4893
109	603	4881
110	607	4862
111	611	4848
112	615	4829
113	622	4837
114	626	4821
115	633	4824
116	636	4805
117	640	4784
118	644	4769
119	647	4748
120	650	4727
121	653	4700
122	655	4676
123	660	4665
124	665	4658
125	669	4645
126	673	4632
127	678	4622
128	683	4617
129	687	4602
130	691	4585
131	702	4617
132	707	4609
133	713	4613
134	727	4659
135	731	4645
136	734	4626
137	737	4608
138	741	4591
139	744	4571
140	747	4554
141	749	4528
142	754	4520
143	757	4504
144	761	4487
145	766	4482
